..............1.23.45.6.7..........4...2.3....6....8......4.6....1....8.2....6... (10.3/1.2/1.2)
........1.....2..3.45.6.........3.....6....5..789..4.....5..6...2...1...3........ (9.0/1.2/1.2)
........1.....2.3...1..4.......4...5.3.5.....67....2.....8...6...8......4....6.2. (9.0/1.2/1.2)
........1.....2.3...4.5...........5..21....6..3.1........3..5....2.6....7.8...4.. (9.0/1.2/1.2)
........1.....2.3...4.5..........4....6.7.....3...1.....51.....4.7...5..8..3....2 (9.0/1.2/1.2)
........1.....2.3...4.5.........1.....6...75..7.8..4......7....1....3..23.5...... (9.0/1.2/1.2)
........1.....2.3...4.5........63....7....5...8....6.4...64....1........63.....2. (9.0/1.2/1.2)
........1.....2.3...4.5.......46.....1.......36.....2....6.3...7.....5..8.....6.4 (9.0/1.2/1.2)
........1.....2.3...4.5..6....7..8...2.....5.7..3.......2.......5..4.9..3.......7 (9.0/1.2/1.2)
........1.....2.3..45..............6....4.75.2.48...........4...7..5....3..1....2 (9.0/1.2/1.2)
...............123..4..5..6.....4.5..1.......2...3...7....2......5....843..1..... (8.9/1.5/1.5)
........1.....2.3...4.5.........3.....5...4...2.1.......6..75..1......2.3...4.8.. (8.9/1.5/1.5)
.................1..2..3.4......43...1......56.....2....7.1......825...6.4..6.... (8.9/1.2/1.2)
................12..3.45.........4.......35..16.2..........2.5..7.1....6.8.6..... (8.9/1.2/1.2)
...............123..4.56..........34.5.......6..1...........78...32...1..4..6.... (8.9/1.2/1.2)
..............1..2..1..3.4............3.45....2......6...2.7..8..4....3.3.5....1. (8.9/1.2/1.2)
..............1..2.34.....5....3......6..7....4.8...56....5..1....4....91.....7.. (8.9/1.2/1.2)
..............1..2.34.....5....3.....6.4.....1......6.....7..3..5...24..2....6.8. (8.9/1.2/1.2)
..............1..2.34.....5....3.....6.4.....1......64....7..3..5...2...2....6.8. (8.9/1.2/1.2)
..............1..2.34....5.........1.....3.2.67..4........5.84.1.3......2..8..... (8.9/1.2/1.2)
..............1..2.34....5........6...5...43..7..28......4.......65.9....2......9 (8.9/1.2/1.2)
..............1..2.34....5.......36.....6..451..7.........5..3.4.6......7.......8 (8.9/1.2/1.2)
..............1..2.34....5......61......3.64.25..........2...3.1........7.8..4... (8.9/1.2/1.2)
..............1..2.34....5.....2...6..7....4.8..3........4..53.1........26.5..... (8.9/1.2/1.2)
..............1..2.34....5.....2...6..7...4..8..3........4..53.1........26.5..... (8.9/1.2/1.2)
..............1..2.34....5.....3..4....6.....7...4.....6.....3.2.......58...53..1 (8.9/1.2/1.2)
..............1..2.34....5.....5....1...3..462.....1...5.....3.7..2.....8..6..... (8.9/1.2/1.2)
..............1..2.34....5.....5..2...13.....6...........5..47..7.....831....6... (8.9/1.2/1.2)
..............1.23..4.5...6.....2.....5...4...2.3.........4.5...1....7..3......18 (8.9/1.2/1.2)
..............1.23..4.5...6.....2.....5...4...2.3.........4.5...1...78..3......1. (8.9/1.2/1.2)
..............1.23..4.5...6.....2.....5...4...2.3.........4.5..3......1.5.7...8.. (8.9/1.2/1.2)
..............1.23..4.5...6.....2.....5...4...2.3.........4.5.7.1....8..3.......9 (8.9/1.2/1.2)
..............1.23..4.5...6.....2.....5...4...2.3........14.5...1....7..3.......8 (8.9/1.2/1.2)
..............1.23..4.5...6.....245....1......37...8......4......5......1....3..2 (8.9/1.2/1.2)
..............1.23..4.5...6...3.2.....7...6...1...8.....8.7.....2........3..9.7.. (8.9/1.2/1.2)
..............1.23..4.5.1......6.4...2.......5...7..8....2........8.3.1...1...5.. (8.9/1.2/1.2)
..............1.23..4.5.6......7.4...2....5..81..........43.......6....2.3......1 (8.9/1.2/1.2)
..............1.23..4.56.........5.4.....3....1.2.........4...732.....1.5.8...... (8.9/1.2/1.2)
..............1.23..4.56.........5.4.....3....1.2........748...32.....1.5........ (8.9/1.2/1.2)
...........1..2..3.2..4..5.........6...57.....72............6.......32.158..9.... (8.9/1.2/1.2)
...........1..2..3.2..4..5......16....73.....4.5...8....2.5..7..1........3....... (8.9/1.2/1.2)
...........1..2..3.2..4..56.....12....7...8..6......4.....5......2...1...5.6..... (8.9/1.2/1.2)
...........1..2..3.4..5..6.........1...47....3.....2.5.......4...5..1....8.7...9. (8.9/1.2/1.2)
...........1..2..3.4..5..6.......1.......7..2.6.....5.....1...8...46....2.8.....9 (8.9/1.2/1.2)
........1........2..3..4.5.........3..4..6....1..5..2....1.....7.....64.8...2.5.. (8.9/1.2/1.2)
........1........2..3..4.5.........3..4..6..5.1..5..2....1.....7.....64.8...2.... (8.9/1.2/1.2)
........1.......2...3.45........3......1....6.24..........5.3...1...6.786.2...... (8.9/1.2/1.2)
........1.......23..4..5........67...3........8..2........1..6...6.3...25.74..... (8.9/1.2/1.2)
........1......23...4..5........6..4.2.......3...4........3.7....57.28...16...... (8.9/1.2/1.2)
........1......23...4..5........6..4.2.......3...4........3.7....58.29...16...... (8.9/1.2/1.2)
........1......23...4.56..........4..1.2......5..1.6.....3...78.46......5........ (8.9/1.2/1.2)
........1.....1.23..4.........45......5.......2......6...57.8...1.9..7..3.......2 (8.9/1.2/1.2)
........1.....2.....1.3..4.....4...2..31.....56....7.....8.95...2.5.....3........ (8.9/1.2/1.2)
........1.....2.....1.3..4.....4...3..31.....56....7.....8.95...2.5.....3........ (8.9/1.2/1.2)
........1.....2.....3....45....4..3..2.......67....8.....5.......93.7....1...62.. (8.9/1.2/1.2)
........1.....2.....3.4..5.........5....6...2.14...........763..2.8.....6...5..4. (8.9/1.2/1.2)
........1.....2....13....4......4....52.3....1......6....51...2..4.......7.6..8.. (8.9/1.2/1.2)
........1.....2..3.45.............2...6.4....7..8....9.......5...25..64..3...8... (8.9/1.2/1.2)
........1.....2.3...1..4.......5.4.6.2....7..83.........4.....9.7.8.....3..2..... (8.9/1.2/1.2)
........1.....2.3...2.4.5......5.......3...6...4...2...1.7....853....4..6........ (8.9/1.2/1.2)
........1.....2.3...2.45........6.....7....82.1.9.........3..1..6.......9..1..6.. (8.9/1.2/1.2)
........1.....2.3...2.45........6.....7....82.3.9.........3..1..6.......9..1..6.. (8.9/1.2/1.2)
........1.....2.3...4.3........4..5..6.......7....1..6...7......2.1.6...8.....49. (8.9/1.2/1.2)
........1.....2.3...4.5...........2..6..4....7..8...9.....1.5.4..1.....62....8... (8.9/1.2/1.2)
........1.....2.3...4.5..........3....61......5....42....54.....78.....21..3..... (8.9/1.2/1.2)
........1.....2.3...4.5........1.6.7.2.4.....38..........2.......1.....5.4.3..8.. (8.9/1.2/1.2)
........1.....2.3...4.5........1.6.7.8.4.....32..........8.......1...5...4.3....2 (8.9/1.2/1.2)
........1.....2.3...4.5........6.4...3....5..78.1........8....3.1......22...4.... (8.9/1.2/1.2)
........1.....2.3...4.5.......2...64.5.3.....7......2...2......3...7.5..6.......8 (8.9/1.2/1.2)
..............1..2..3...45.....3......645.....7......8....6.....87.....121...7... (8.8/1.2/1.2)
..............1..2.34....5.......56.2.7......8...9........3........4.9.7.4.65.... (8.8/1.2/1.2)
........1.......2...3.45.........6.......3....6.1...7....7...8...52.....9.4.3.5.. (8.5/1.2/1.2)
........1.......23..4..5........65...17.48....3..........7......2.1...9.8.6...... (8.5/1.2/1.2)
..............1..2.34....5..............2.671..538..........38.1..4.....2....5... (8.4/1.5/1.5)
..............1.23..4.5...6......1...5.7.....23.6..........85....8..4....6......7 (8.4/1.5/1.5)
..............1..2..3....4.........4.5.....3..6...5.......2.1.7..536....7..4....8 (8.4/1.2/1.2)
..............1..2..3....4.........4.5.....3..6...5.......2.1.7..536....8..4....9 (8.4/1.2/1.2)
..............1..2..3.4..5........4...1..637.68...2......8.......5.3....2.......1 (8.4/1.2/1.2)
..............1..2345....6........37.....28....6.9........4.......65..9.82....... (8.4/1.2/1.2)
........1.......2...3.45...........6.....2.1...5..3.....7.6.5...2.......16.8..4.. (8.4/1.2/1.2)
........1.....2.....3....45....1...6.27..8....9...........4.7...8..3.9..1..5..... (8.4/1.2/1.2)
........1.....2.34..5.6...........72..3.......6.58.......3..6...4.......21...7... (8.4/1.2/1.2)
...........1..2..3.2..45.6.......1.....7..3.8.9...6......8......6.......54.....2. (8.3/1.2/1.2)
........1.......2...3..45.......5.......3.6...12........72...38.5.1.....4.......7 (8.3/1.2/1.2)
........1.....2.....3.4..5.......4...2...1...5......3.....3.67..1.5....828....... (8.3/1.2/1.2)
.................1..2.34........2.4...5......16.........4....5.7..1...368..6...2. (7.8/1.2/1.2)
........1.....2.....3....4........3..2..1....5..........6..37...4.8.....91..57..2 (7.8/1.2/1.2)
........1.....2.....3...45.......56...7....3..2..1.......5...7..1.4....83..6..... (7.8/1.2/1.2)
........1.....2..3.45....6......7....68......2...13......5...9....6..84.7........ (7.8/1.2/1.2)
..............1.23.14..5.........6....7...8...2..3.......4.....25.....1.3.97..... (7.7/1.2/1.2)
..............1.23.14..5.........6....7...8...2..3......94.....25.....1.3..7..... (7.7/1.2/1.2)
.................1.23.45........2.3.....6....78...........8..2...17..6..5......48 (7.2/1.2/1.2)
..............1..2.34....5.......3......46.1.7....2.....13..8....2.9......6.....7 (7.2/1.2/1.2)
........1.......23....456.......1.....27.3....4....8..4........5..3....768....... (7.2/1.2/1.2)
........1.......23..4..5..........64.5..7....18..3.........95..2..6.....3..4..... (7.2/1.2/1.2)
........1.....1.23..2....4.....2......564.....7......8....5.6..18...9...3........ (7.2/1.2/1.2)
........1.....2.....3....45....6..1..27......8....1......35.7....9.4....4.....8.. (7.2/1.2/1.2)
........1.....2.34..5.6........5.7...2.......43...1......89......8...6..1.......2 (7.2/1.2/1.2)
..............1..2.34....56....5..7.1........2...3.4.....7.28....5........6.4.... (7.1/1.5/1.5)
..............1..2.34....56....6..7.1........2...3.4.....7.28....5.4......6...... (7.1/1.5/1.5)
..............1.23..4..5..1......6......7.8..23......5....4......96..7..1....3... (7.1/1.5/1.5)
..............1..2..3..4.5.....6.....2.......51....4.7...6..89..7..25...1........ (7.1/1.2/1.2)
..............1..2.34....5.........6..7.8....2...5..19...2.6....5....7..1....9... (7.1/1.2/1.2)
..............1..2.34....5.....3..6.....78...9.......4...9....1.75....4..8...2... (7.1/1.2/1.2)
........1.....1.2..34....5.........6..2.7....5...3...8....5.4.....24..7.9........ (7.1/1.2/1.2)
........1.....2.....1.3..4......5......6..47..8.........61..5....7.4....3......68 (7.1/1.2/1.2)
........1.....2.....1.3..4......5......6..47..8.........61..5....7.46...3.......8 (7.1/1.2/1.2)
........1.....2.34....56.........7....89......31.4.......1....82.....9..7.6...... (7.1/1.2/1.2)
........1.....2....34....56....3....1...65.4.6.....7.....7..8....6.......5..4.... (7.0/1.2/1.2)
..............1..2.34....56.....789...5.......6.24........3.7..1........6...5.... (6.7/1.5/1.5)
................12..3..4.......1......4..5....67..3..4....8.3...25......1...5..8. (6.7/1.2/1.2)
..............1..2.34....5.......3.......2..5..2.67..1....45....8.3.....1.....8.. (6.7/1.2/1.2)
........1.....2....34....56....3....1...65...6.....7.....7..8....6.......5..4..7. (6.7/1.2/1.2)
........1.....2.3...4...5.6....1.6...3...7...82..........5.......964.....7.....8. (6.7/1.2/1.2)
.................1.23.45........6..2..51...3..7.....4....7...5...8...9..6...2.... (6.6/1.5/1.5)
..............1..2.34....5..............3674...8..2....6..5.....7..4.3..2.......8 (6.6/1.5/1.5)
..............1.23..1.45...........6..5...1...7.3...8.......4.72..9.....83....... (6.6/1.5/1.5)
..............1.23..1.45...........6..5...1...7.3...8.......4.923.......8..6..... (6.6/1.5/1.5)
...............123..4..5...........1....465...7.....3......84...1......783.2..... (6.6/1.2/1.2)
...............123..4.56..........45.2.3......3......7...1.......5..2...6...4...8 (6.6/1.2/1.2)
..............1..2....34.56......7....38......25.6.......98....1.4......7.....8.. (6.6/1.2/1.2)
..............1..2..1345..........3...3....5..4..6.........2.4...7...6..8.51..... (6.6/1.2/1.2)
..............1..2..3....45.......6....45.7...2.3............837....61..91....... (6.6/1.2/1.2)
..............1..2..3....45.......6....45.7...2.3............837....69..91....... (6.6/1.2/1.2)
..............1..2..3....45.....61......37....28.5.......4...3..7....8..61....... (6.6/1.2/1.2)
..............1..2.34....5.........6....3...7.8.54..3.....8..9.1.6..7...2........ (6.6/1.2/1.2)
..............1..2.34....5.........6..3.7....2...5..18...2.6....5....3..1....8... (6.6/1.2/1.2)
..............1..2.34....5.......12......6.7...6.8....2...4..8.6........7..35.... (6.6/1.2/1.2)
..............1..2.34....5.....3...66.......78..29........4..3.....5.9..29....... (6.6/1.2/1.2)
..............1.23..1.45...........6..5...1...7.3...8.......4.92..9.....83....... (6.6/1.2/1.2)
..............1.23..1.45...........6..5...1...7.3...8.......4.923.......8..9..... (6.6/1.2/1.2)
..............1.23..4..5..6...........326.....5.7..8......7...4..1...7..8.5...... (6.6/1.2/1.2)
..............1.23..4.5...6...47......85......9......1...8...6..3.......12....7.. (6.6/1.2/1.2)
..............1.23..4.5...6...47......85......9......1...8...6.21....7..3........ (6.6/1.2/1.2)
........1.......23..4..5..........46.1..7.8..72..5.........9....3.6.....8....4... (6.6/1.2/1.2)
........1.......23..4..5.........467....3...8.9.......4...2....6.5......7..81.... (6.6/1.2/1.2)
........1.......23..4..5.........467.4..3...8.9...........2....6.5......7..81.... (6.6/1.2/1.2)
........1.......23..4..5........4.......6.7.8.1..9.....2.5......3.1.....6.....59. (6.6/1.2/1.2)
........1.......23..4..5........4.6.....6.....1..7.....2.5....7.381.....6.....5.. (6.6/1.2/1.2)
........1.......23..4..5.......1.....6........75...4.....7....61...3..8.9..42.... (6.6/1.2/1.2)
........1.......23..4..5.......1.....6........75...4.....7....61..43..8.9...2.... (6.6/1.2/1.2)
........1.......23..4..5.......2.......6..47..1..3....4.5......6.....8.97...1.... (6.6/1.2/1.2)
........1.......23..4..5.......2...6...7..4...1..38...4.5....7.6...1....7........ (6.6/1.2/1.2)
........1.....2.....3....45......6.....35.7...85.4........8..9.2.7..1...6........ (6.6/1.2/1.2)
........1.....2.....3....45....5.6....534.....4....7......8..9.2.6......7....9... (6.6/1.2/1.2)
........1.....2.....3...456....1..2...6.....7.4.5........3..5...1.6.....8......9. (6.6/1.2/1.2)
........1.....2....34....5.......6......5.7....534..1.....8...92....1...76....... (6.6/1.2/1.2)
........1.....2....34....5.......6......5.7....543..1.....8...92....1...76....... (6.6/1.2/1.2)
........1.....2.34....56........75....1.......483........4..7..6.2......9.......8 (6.6/1.2/1.2)
........1.....2.34....56........76....1.......483........4..7..5.2......9.......8 (6.6/1.2/1.2)
........1.....2.34..5..6.......3..7..8....5...92.........5......6....8..3..41.... (6.6/1.2/1.2)
........1.....2.....3....45......6.....35.7...58.4........8..9.27...1...6........ (5.6/1.2/1.2)
........1.....2....34....56....3........6.7....84..9......5..1..7...1...92....... (5.6/1.2/1.2)
........1.....2.3...4...5.6....1.6...2.......73...8.......6......954.....8.....7. (5.6/1.2/1.2)
........1.....2.3...4...5.6....1.6...3.......72...8.......6......954.....8.....7. (5.6/1.2/1.2)
..............1.23..4.5...6......7...1...84..23..........47......98......6.....1. (4.6/1.2/1.2)
........1......23...4..5........6.4..7....8..29..3.7.....6.8...1..4.....3........ (4.6/1.2/1.2)
..............1..2.34....56..........56.4....7..2..1...8....4..5...3....9...6.... (4.5/1.5/1.5)
..............1.23..4.5.6.........34...7.......568..........8.5.2.......31.....9. (4.5/1.2/1.2)
........1.......23..4..5.........4.....126....7.......2...4.7..3..71....6.....8.. (4.5/1.2/1.2)
........1.......23..4..5........647....28.....9.......4..1.....6..3.....7.5...6.. (4.5/1.2/1.2)
........1.......23..4..5........647..4.28.....9..........1.....6..3.....7.5...6.. (4.5/1.2/1.2)
........1.....2.3...4...5.6....7.6...8...9...32..........54......1.6.....9.....8. (4.5/1.2/1.2)
..............1..2345....6.....3........4...78..6....9....5.4...7...2...1.9...... (4.4/4.0/2.6)
..............1..2..3..4.5.......6....5.7.....1.....48...3.8.7..2...5...9.....8.. (4.2/4.0/3.4)
..............1..2.34....56....3.....1.7..2...5......4....4.8......6....92.....3. (4.2/1.5/1.5)
.................1.23.45........1.45.....6.....27...3....1..8...6.....2.5...9.... (4.2/1.2/1.2)
................12..3..4..5.....3.......678..58.2........1...8.3.4...6..7........ (4.2/1.2/1.2)
........1.......23..4..5........6..2.57.8.....9..4.......7.....1..5.....6.....84. (4.2/1.2/1.2)
........1.....1....23....45.......6.....54.....2.3.7.....8..1...6..2....4.......9 (4.2/1.2/1.2)
........1.....1.23..4...5......6.7...1.......83...9......57......64......2......8 (4.2/1.2/1.2)
........1.....2.3...4...5.6....1.7...2.......83...9.......6......154.....9.....8. (4.2/1.2/1.2)
........1.....2.3...4...5.6....4......165.....7.....8.....9.6..2....7...38....... (4.2/1.2/1.2)
.................1..2.34..........2...5..6.4..7.8....3.....25.....1..9..8.3....6. (4.0/4.0/2.6)
..............1..2.34.....5....3...4..6....787...9.......4...6..2.8.5...1........ (4.0/4.0/2.6)
..............1..2.34.....5....3...4..6....787...9.......4...6..5.8.2...1........ (4.0/4.0/2.6)
..............1..2.34....56......7......3...42..7.........543...7..6....8......1. (4.0/4.0/2.6)
..............1..2.34....56......7......3...42..7.........543...7..6....8......9. (4.0/4.0/2.6)
..............1.23..2.4..5.........1.....3....256............4.....57...3....8.69 (4.0/4.0/2.6)
..............1.23..4..5..1....5.6...2....7..13...........7......864.....9......8 (4.0/4.0/2.6)
..............1.23..4..5..6.....71......48....23.........6....4.1.......7.5...9.. (4.0/4.0/2.6)
.............12.34..5..67.......7....3........4......3...4....1.2.......6..8.9.5. (4.0/4.0/2.6)
.............12.34..5..67.......7....3........4......3...4....1.2.......7..8.9.5. (4.0/4.0/2.6)
........1........2....34........3..5..61...7.89....4.......7.8..1.9.....2.5...... (4.0/4.0/2.6)
........1........2....34........3..5..61...7.89....4......7..8..1.9.....2.5...... (4.0/4.0/2.6)
........1........2..3..4..5.....3.6..1......75...2......6.......2.57.....8..1.9.. (4.0/4.0/2.6)
........1.......23..4..5.......2......6.1.....754...8....7..65.3........8....9... (4.0/4.0/2.6)
........1......23...4..5........6....1........27.84.......6.7...3.9.....5.....84. (4.0/4.0/2.6)
........1.....2....34....56......7......3.8...1.45........6..9..27......8....1... (4.0/4.0/2.6)
........1.....2....34....56......78.....65.....9.3.......9..1...8..4....5.......2 (4.0/4.0/2.6)
........1.....2....34....56......78.....65.....9.4.......9..1...8..3....5.......2 (4.0/4.0/2.6)
........1.....2..3..4.56.........47....8......56...2.......95..18.7.....3........ (4.0/4.0/2.6)
........1.....2..3..4.56.........47....8......65...2.......96..18.7.....3........ (4.0/4.0/2.6)
........1.....2..3..4.56.........78....9......25....6......4.5.1.97.....3........ (4.0/4.0/2.6)
..............1..2.34....56....3......3.5....2.......1....6......5...4..78.2..9.. (4.0/2.6/2.6)
..............1..2.34....56....3......3.5....2.......7....6......5...4..81.2..9.. (4.0/2.6/2.6)
..............1..2.34.5..6........78......2.19.3..........9..5....46.....8......7 (4.0/2.3/2.3)
.................1..2345..........3....1.6....75....2........5...4.2....1..8.7..6 (4.0/1.5/1.5)
.................1.23.45.................6..5..78...3........46..91..8...5..7..2. (4.0/1.5/1.5)
.................1.23.45........6.2...7....451...3........8.9...5.7.....6......3. (4.0/1.5/1.5)
..............1..2..3....45..........1.....6.25..47........21....4.5.....8..3...7 (4.0/1.5/1.5)
..............1..2..3..4.5.....62.7...8.......1...9.....6.......2.....497...8...1 (4.0/1.5/1.5)
..............1..2..3..4.56.....71......38....25.........6....3.1.......7.4...9.. (4.0/1.5/1.5)
..............1..2.34.....5.......6.....3.1...7.45.3......7.....6....8..18...2... (4.0/1.5/1.5)
..............1..2.34....5.............35.41..6..7......1.......75...3..2....68.. (4.0/1.5/1.5)
..............1..2.34....5.............35.46..7....8....5.8.3....6....1.9....7... (4.0/1.5/1.5)
..............1..2.34....5.....3.6......7...1.8..5.9....1..2.....5........7.4..8. (4.0/1.5/1.5)
..............1..2.34....5.....3.6....754..8.9............8..4.1....6...2.9...... (4.0/1.5/1.5)
..............1..2.34....56.............63.4.7...4.8......5..7...2.....31..9..... (4.0/1.5/1.5)
..............1..2.34....56....3......2..5...7.....4......4.....5..62....8.7..1.. (4.0/1.5/1.5)
..............1..2.34....56....3......2..5...7.....4......4.....5..62...8..7..1.. (4.0/1.5/1.5)
..............1..2.34....56....3......5.62.....78..1......4.....6...5...8.....3.. (4.0/1.5/1.5)
..............1..2.34....56....3......5.62...7..8..1......4.....6...5...8.....3.. (4.0/1.5/1.5)
..............1..2.34....56....3......6..5...7.....4......62....5..4.....8.7..1.. (4.0/1.5/1.5)
..............1..2.34...56..............531..7.2.6........4...8..62......5....3.. (4.0/1.5/1.5)
..............1..2.34...56.....3...7..5...4...6.2.........541...2..6....8........ (4.0/1.5/1.5)
..............1.23..4.56.........5.7.2.......38..........4.......1...6..97.3...8. (4.0/1.5/1.5)
........1.......2...3..4...........3.4..1.....5....67......65..2....7.4.8..39.... (4.0/1.5/1.5)
........1.......23....45........67....12.......8....5....3....4.7...8...56...9... (4.0/1.5/1.5)
........1.......23....45........67....13.......4..8.5....2....8.7.......65...9... (4.0/1.5/1.5)
........1.......23....45........67....23...48..9.........1......7.2.....56....9.. (4.0/1.5/1.5)
........1.....2.....3.....4.......2...5146....7.........16....5.6.....7.2....38.. (4.0/1.5/1.5)
........1.....2..3..4.5..6.....7.2...8.9.....13.6........7...4..2....8..5........ (4.0/1.5/1.5)
.................1..2..3.4......452......63...7.18.......9......1......94.3...6.. (4.0/1.2/1.2)
.................1..2.34.5........2...3.4..6..7.8....9.....5.4..1.......98.7..... (4.0/1.2/1.2)
.................1..2.34.5........2...3.4..6..7.8....9....5..4..1.......98.7..... (4.0/1.2/1.2)
.................1..2.34.5........3...3.2..4..6.7....8....5..9..1.......87.6..... (4.0/1.2/1.2)
.................1..2.34.5........6...5..2.3..7.8....9.....5.4..1.......98.7..... (4.0/1.2/1.2)
.................1..2345.................6.5...3....24.1.7.....6..4...3.8.5...6.. (4.0/1.2/1.2)
.................1.23.45..........2....2.67....5.........41..3..6....8..9...5..4. (4.0/1.2/1.2)
.................1.23.45..........24...6......7.....5...18..9..8....7.3.9.6...... (4.0/1.2/1.2)
.................1.23.45........2.....4....5.3..6.........2..47....5..3.1.8...6.. (4.0/1.2/1.2)
.................1.23.45........2.....4....5.3..6.........5..3....2...471.8...6.. (4.0/1.2/1.2)
.................1.23.45........2.5..1...4.2..6....7....76..8....8......4......3. (4.0/1.2/1.2)
.................1.23.45........2.5..1...4.2..6....7....76..8....9......4......3. (4.0/1.2/1.2)
.................1.23.45........2.5..1...4.2..6....7....8........96..8..4......3. (4.0/1.2/1.2)
.................1.23.45........6.4...12.....7.....8...6...4....7.....328......5. (4.0/1.2/1.2)
................12.....3..4.....56....3.478..24.9........1...6..3.......57....... (4.0/1.2/1.2)
................12..3..4..5.....6....2....74..3..8........5...84.81.....6......7. (4.0/1.2/1.2)
................12..3..4..5.....67....8.73....15.........2...7..6....9..3.4...... (4.0/1.2/1.2)
................12..3.45........6..7.12....6..8..........2....5...8.9...7.....3.4 (4.0/1.2/1.2)
..............1..2.....3.4.......5....2.6.....37....1...89.7..6.4...2...5.....9.. (4.0/1.2/1.2)
..............1..2....23.45......6....78......24.5.......98....1.3......6.....8.. (4.0/1.2/1.2)
..............1..2....23.45......6....78......25.4.......98....1.3......6.....8.. (4.0/1.2/1.2)
..............1..2....34.56......7....526.....8..9.......9....81.....9..7.4...... (4.0/1.2/1.2)
..............1..2..3....4.........5.....416..7..3......17....8..6..5...2.4...3.. (4.0/1.2/1.2)
..............1..2..3....4.........5.....617..8..3......68....9..7..5...2.1...3.. (4.0/1.2/1.2)
..............1..2..3....45.............3..6..2475.......3.5..7.6..4....8.....1.. (4.0/1.2/1.2)
..............1..2..3....45.......6..7.......12..45..........71..8..96..4..5..... (4.0/1.2/1.2)
..............1..2..3..4.5............6...7...18.92......9...3..4......81...7...9 (4.0/1.2/1.2)
..............1..2..3..4.5........3..2..5....16....4......72......5.6..1..8....4. (4.0/1.2/1.2)
..............1..2..3..4.5........6...2.57....7...21.....3......14...7..6......8. (4.0/1.2/1.2)
..............1..2..3..4.5........6...2.78....8...2..1...3......14...8..6......7. (4.0/1.2/1.2)
..............1..2..3..4.5........6...2.78....8...21.....3......14...8..6......7. (4.0/1.2/1.2)
..............1..2..3..4.56....7......625.....5....8.....7....9.14.......8....7.. (4.0/1.2/1.2)
..............1..2.13...45.............45..3.6...3...7......18.2.7..6...9........ (4.0/1.2/1.2)
..............1..2.13...45.........6...34.5..7..5...........18.2.6..7...9........ (4.0/1.2/1.2)
..............1..2.34.....5.......631....67..7.8..........3.8.9...45....6........ (4.0/1.2/1.2)
..............1..2.34.....5.......631.7......8....61......3.7.9...45....6........ (4.0/1.2/1.2)
..............1..2.34.....5.....6.7....38..1.7.....4......5...7.6.......18.....9. (4.0/1.2/1.2)
..............1..2.34....5.........6....3.7...8.54..3.....8..9.1.6......2....7... (4.0/1.2/1.2)
..............1..2.34....5........6.1.7..8...29.............8.9...35....7...4...1 (4.0/1.2/1.2)
..............1..2.34....5.......6....745..8.9..3........8...4.1....6...2.9...... (4.0/1.2/1.2)
..............1..2.34....5.......6.7....3....1...52.......6...8..6.4.3..2.......9 (4.0/1.2/1.2)
..............1..2.34....5.......6.7....3....1...52.......6...8.6..4.3..2.......9 (4.0/1.2/1.2)
..............1..2.34....5.....5..6..17..8...2............6...7...43...1..6.....8 (4.0/1.2/1.2)
..............1..2.34....56.............2.1.7.563........4.....2..6.....8.....5.9 (4.0/1.2/1.2)
..............1..2.34....56......3.......5....7..6..8.....3..7...12.....2...4...5 (4.0/1.2/1.2)
..............1..2.34....56....3.....4..5....2.......1....6.....5....4..7.82..9.. (4.0/1.2/1.2)
..............1..2.34....56....3.....4..5....2.......7....6.....5....4..8.12..9.. (4.0/1.2/1.2)
..............1..2.34....56....3.....5........7.8....9....6..7...1.4.5..4..9..... (4.0/1.2/1.2)
..............1..2.34....56....3...5....4..7.1..8.........65.....7...89..4....... (4.0/1.2/1.2)
..............1..2.34....56....34.......5..7.8...........8...9..46.....1.7..6.... (4.0/1.2/1.2)
..............1..2.34....56....347....8.5....2............6..8..1....4..9..2..... (4.0/1.2/1.2)
..............1..2.34....56....5......3.4....2.......1....6......5...3..78.2..9.. (4.0/1.2/1.2)
..............1..2.34....56....5......3.4....2.......7....6......5...3..81.2..9.. (4.0/1.2/1.2)
..............1..2.34...56.........5....127....63........4...3....5..4..7.....8.. (4.0/1.2/1.2)
..............1..2.34...56.....3........453..7...........7..8...56....1..9..6.... (4.0/1.2/1.2)
..............1..2.34...56.....3........5....1...6...7..5....8...6...34..9.2..... (4.0/1.2/1.2)
..............1..2.34...56.....3........5....1...6...7..5...34...6....8..9.2..... (4.0/1.2/1.2)
..............1..2.34...56.....3........5....1...6...7..6...34..5.....8..9.2..... (4.0/1.2/1.2)
..............1..2.34...56.....3..7...8...4...6.2.........548...2.......1...6.... (4.0/1.2/1.2)
..............1..2.34...56.....5......7.34.8.2............6...7.1.....4.9..2..... (4.0/1.2/1.2)
..............1..2345....6.....3..7...1...4..8..2.........6......6.549..2........ (4.0/1.2/1.2)
..............1..2345....6.....3..7...1...4..8..2.........6......9.546..2........ (4.0/1.2/1.2)
..............1..2345....6.....3..7...1...5..8..2.........6.....6..459..2........ (4.0/1.2/1.2)
..............1..2345....6.....3..7...1...5..8..2.........6.....9..456..2........ (4.0/1.2/1.2)
..............1.23....456..........5..27..8...68.............39...6.....54......1 (4.0/1.2/1.2)
..............1.23..4...5.6........7...895.....84...........8...2.......31..7.9.. (4.0/1.2/1.2)
..............1.23..4...5.6.......7.....5.....8.64..9.......7.8.92......1....7... (4.0/1.2/1.2)
